index,player_name,salary,age,games_played,minutes_played,field_goal_percent,three_point_percent,two_point_percent,effective_field_goal,free_throw_percent,total_rebounds,assist,steal,blocking,points
176,Patrick Patterson,5192000,28,82.00,1270.00,0.40,0.39,0.42,0.52,0.87,193.00,57.00,48.00,23.00,318.00
177,Nick Young,5192000,32,80.00,1393.00,0.41,0.38,0.48,0.54,0.86,125.00,36.00,38.00,7.00,581.00
178,Josh Jackson,5090040,20,77.00,1959.00,0.42,0.26,0.46,0.45,0.63,351.00,119.00,80.00,35.00,1012.00
179,Marcus Morris,5000000,28,54.00,1447.00,0.43,0.37,0.47,0.50,0.81,289.00,72.00,35.00,12.00,734.00
180,Dirk Nowitzki,5000000,39,77.00,1900.00,0.46,0.41,0.49,0.55,0.90,438.00,120.00,43.00,45.00,927.00
181,Mike Muscala,5000000,26,53.00,1060.00,0.46,0.37,0.56,0.56,0.92,230.00,51.00,31.00,27.00,405.00
182,Jahlil Okafor,4995120,22,27.00,340.50,0.56,0.25,0.57,0.57,0.74,80.50,11.50,3.00,17.00,171.00
183,Dante Exum,4992385,22,14.00,235.00,0.48,0.28,0.54,0.51,0.81,26.00,43.00,8.00,3.00,114.00
184,Jaylen Brown,4956480,21,70.00,2152.00,0.47,0.40,0.51,0.54,0.64,346.00,114.00,70.00,26.00,1017.00
185,Jameer Nelson,4736050,35,33.33,675.33,0.36,0.26,0.44,0.43,0.86,69.33,119.33,18.00,2.67,164.67
186,Jameer Nelson,2262871,35,33.33,675.33,0.36,0.26,0.44,0.43,0.86,69.33,119.33,18.00,2.67,164.67
187,Kyle Singler,4666500,29,12.00,59.00,0.33,0.40,0.31,0.38,0.54,10.00,2.00,1.00,0.00,23.00
188,Justin Holiday,4615385,28,72.00,2265.00,0.37,0.36,0.39,0.47,0.82,291.00,153.00,80.00,31.00,876.00
189,De'Aaron Fox,4609200,20,73.00,2026.00,0.41,0.31,0.44,0.44,0.72,204.00,320.00,70.00,20.00,844.00
190,Marcus Smart,4538020,23,54.00,1614.00,0.37,0.30,0.43,0.44,0.73,189.00,259.00,71.00,23.00,550.00
191,Kristaps Porzingis,4503600,22,48.00,1553.00,0.44,0.40,0.45,0.49,0.79,316.00,57.00,36.00,115.00,1088.00
192,Dragan Bender,4468800,20,82.00,2069.00,0.39,0.37,0.43,0.51,0.77,361.00,130.00,22.00,53.00,531.00
193,Devin Harris,4402546,34,47.33,893.33,0.41,0.35,0.48,0.50,0.84,84.67,101.33,31.33,8.00,396.67
194,Ron Baker,4328000,24,29.00,385.00,0.34,0.33,0.35,0.43,0.77,30.00,47.00,26.00,6.00,71.00
195,Aron Baynes,4328000,31,81.00,1485.00,0.47,0.14,0.49,0.47,0.76,434.00,93.00,22.00,51.00,482.00
